
time,ax,ay,az,wx,wy,wz,
0.002,0.29,-0.01,-0.08,0.06,-0.33,0.29,
0.002,0.29,-0.01,-0.08,0.06,-0.33,0.29,
0.003,-0.00,-0.08,-0.59,0.06,-0.33,0.29,
0.003,-0.00,-0.08,-0.59,0.06,-0.33,0.29,
0.01,-0.00,-0.08,-0.59,0.05,-0.31,0.24,
0.011,-0.00,-0.08,-0.59,0.05,-0.31,0.24,
0.011,-0.26,-0.09,-0.85,0.05,-0.31,0.24,
0.011,-0.26,-0.09,-0.85,0.05,-0.31,0.24,
0.021,-0.26,-0.09,-0.85,0.06,-0.24,0.13,
0.021,-0.26,-0.09,-0.85,0.06,-0.24,0.13,
0.022,-0.45,-0.10,-0.89,0.06,-0.24,0.13,
0.022,-0.45,-0.10,-0.89,0.06,-0.24,0.13,
0.026,-0.45,-0.10,-0.89,0.09,-0.11,-0.01,
0.027,-0.45,-0.10,-0.89,0.09,-0.11,-0.01,
0.027,-0.46,-0.05,-0.76,0.09,-0.11,-0.01,
0.028,-0.46,-0.05,-0.76,0.09,-0.11,-0.01,
0.036,-0.46,-0.05,-0.76,0.14,0.03,-0.16,
0.037,-0.46,-0.05,-0.76,0.14,0.03,-0.16,
0.037,-0.23,0.05,-0.60,0.14,0.03,-0.16,
0.037,-0.23,0.05,-0.60,0.14,0.03,-0.16,
0.045,-0.23,0.05,-0.60,0.18,0.16,-0.30,
0.046,-0.23,0.05,-0.60,0.18,0.16,-0.30,
0.047,0.18,0.20,-0.48,0.18,0.16,-0.30,
0.047,0.18,0.20,-0.48,0.18,0.16,-0.30,
0.06,0.18,0.20,-0.48,0.20,0.22,-0.39,
0.061,0.18,0.20,-0.48,0.20,0.22,-0.39,
0.061,0.70,0.29,-0.37,0.20,0.22,-0.39,
0.062,0.70,0.29,-0.37,0.20,0.22,-0.39,
0.065,0.70,0.29,-0.37,0.20,0.22,-0.39,
0.065,0.70,0.29,-0.37,0.20,0.22,-0.39,
0.066,0.70,0.29,-0.37,0.20,0.22,-0.39,
0.066,0.70,0.29,-0.37,0.20,0.22,-0.39,
0.074,0.70,0.29,-0.37,0.22,0.19,-0.40,
0.075,0.70,0.29,-0.37,0.22,0.19,-0.40,
0.075,1.52,0.00,-0.06,0.22,0.19,-0.40,
0.076,1.52,0.00,-0.06,0.22,0.19,-0.40,
0.085,1.52,0.00,-0.06,0.22,0.04,-0.30,
0.085,1.52,0.00,-0.06,0.22,0.04,-0.30,
0.086,1.59,-0.36,0.22,0.22,0.04,-0.30,
0.086,1.59,-0.36,0.22,0.22,0.04,-0.30,
0.093,1.59,-0.36,0.22,0.17,-0.21,-0.10,
0.094,1.59,-0.36,0.22,0.17,-0.21,-0.10,
0.095,1.49,-0.65,0.56,0.17,-0.21,-0.10,
0.095,1.49,-0.65,0.56,0.17,-0.21,-0.10,
0.103,1.49,-0.65,0.56,0.04,-0.51,0.13,
0.103,1.49,-0.65,0.56,0.04,-0.51,0.13,
0.104,1.28,-0.81,0.86,0.04,-0.51,0.13,
0.104,1.28,-0.81,0.86,0.04,-0.51,0.13,
0.112,1.28,-0.81,0.86,-0.18,-0.75,0.30,
0.113,1.28,-0.81,0.86,-0.18,-0.75,0.30,
0.114,1.06,-0.86,1.07,-0.18,-0.75,0.30,
