
time,ax,ay,az,wx,wy,wz,
0.002,-0.06,0.11,0.51,-0.17,0.45,-0.38,
0.002,-0.06,0.11,0.51,-0.17,0.45,-0.38,
0.002,0.01,0.15,0.42,-0.17,0.45,-0.38,
0.003,0.01,0.15,0.42,-0.17,0.45,-0.38,
0.012,0.01,0.15,0.42,-0.13,0.34,-0.22,
0.013,0.01,0.15,0.42,-0.13,0.34,-0.22,
0.013,-0.05,0.13,0.31,-0.13,0.34,-0.22,
0.013,-0.05,0.13,0.31,-0.13,0.34,-0.22,
0.017,-0.05,0.13,0.31,-0.09,0.21,-0.04,
0.017,-0.05,0.13,0.31,-0.09,0.21,-0.04,
0.018,-0.17,0.10,0.27,-0.09,0.21,-0.04,
0.018,-0.17,0.10,0.27,-0.09,0.21,-0.04,
0.027,-0.17,0.10,0.27,-0.04,0.11,0.09,
0.028,-0.17,0.10,0.27,-0.04,0.11,0.09,
0.028,-0.23,0.08,0.30,-0.04,0.11,0.09,
0.029,-0.23,0.08,0.30,-0.04,0.11,0.09,
0.044,-0.23,0.08,0.30,-0.00,0.04,0.16,
0.045,-0.23,0.08,0.30,-0.00,0.04,0.16,
0.046,-0.24,0.06,0.36,-0.00,0.04,0.16,
0.046,-0.24,0.06,0.36,-0.00,0.04,0.16,
0.047,-0.24,0.06,0.36,0.02,0.00,0.17,
0.047,-0.24,0.06,0.36,0.02,0.00,0.17,
0.048,-0.22,0.06,0.40,0.02,0.00,0.17,
0.049,-0.22,0.06,0.40,0.02,0.00,0.17,
0.055,-0.22,0.06,0.40,0.03,-0.02,0.14,
0.056,-0.22,0.06,0.40,0.03,-0.02,0.14,
0.057,-0.15,0.06,0.36,0.03,-0.02,0.14,
0.057,-0.15,0.06,0.36,0.03,-0.02,0.14,
0.065,-0.15,0.06,0.36,0.03,-0.02,0.11,
0.065,-0.15,0.06,0.36,0.03,-0.02,0.11,
0.066,-0.09,0.08,0.22,0.03,-0.02,0.11,
0.066,-0.09,0.08,0.22,0.03,-0.02,0.11,
0.074,-0.09,0.08,0.22,0.03,-0.03,0.10,
0.075,-0.09,0.08,0.22,0.03,-0.03,0.10,
0.075,-0.05,0.09,-0.01,0.03,-0.03,0.10,
0.076,-0.05,0.09,-0.01,0.03,-0.03,0.10,
0.083,-0.05,0.09,-0.01,0.02,-0.04,0.10,
0.084,-0.05,0.09,-0.01,0.02,-0.04,0.10,
0.085,-0.00,0.12,-0.32,0.02,-0.04,0.10,
0.085,-0.00,0.12,-0.32,0.02,-0.04,0.10,
0.093,-0.00,0.12,-0.32,0.04,-0.06,0.13,
0.094,-0.00,0.12,-0.32,0.04,-0.06,0.13,
0.094,-0.01,0.15,-0.64,0.04,-0.06,0.13,
0.095,-0.01,0.15,-0.64,0.04,-0.06,0.13,
0.103,-0.01,0.15,-0.64,0.07,-0.07,0.17,
0.104,-0.01,0.15,-0.64,0.07,-0.07,0.17,
0.104,-0.06,0.15,-0.86,0.07,-0.07,0.17,
0.105,-0.06,0.15,-0.86,0.07,-0.07,0.17,
0.112,-0.06,0.15,-0.86,0.13,-0.06,0.21,
0.113,-0.06,0.15,-0.86,0.13,-0.06,0.21,
0.113,-0.13,0.11,-0.93,0.13,-0.06,0.21,
