
time,ax,ay,az,wx,wy,wz,
0.002,-0.09,-0.00,0.40,0.04,0.03,0.02,
0.002,-0.09,-0.00,0.40,0.04,0.03,0.02,
0.003,-0.09,-0.00,0.40,0.04,0.03,0.02,
0.003,-0.09,-0.00,0.40,0.04,0.03,0.02,
0.009,-0.09,-0.00,0.40,0.03,0.06,0.02,
0.01,-0.09,-0.00,0.40,0.03,0.06,0.02,
0.011,-0.07,-0.02,0.42,0.03,0.06,0.02,
0.011,-0.07,-0.02,0.42,0.03,0.06,0.02,
0.032,-0.07,-0.02,0.42,0.01,0.10,0.03,
0.032,-0.07,-0.02,0.42,0.01,0.10,0.03,
0.033,-0.04,0.02,0.37,0.01,0.10,0.03,
0.033,-0.04,0.02,0.37,0.01,0.10,0.03,
0.034,-0.04,0.02,0.37,-0.05,0.13,0.07,
0.035,-0.04,0.02,0.37,-0.05,0.13,0.07,
0.035,-0.04,0.02,0.37,-0.05,0.13,0.07,
0.035,-0.01,0.06,0.33,-0.05,0.13,0.07,
0.036,-0.01,0.06,0.33,-0.05,0.13,0.07,
0.036,-0.01,0.06,0.33,-0.05,0.13,0.07,
0.044,-0.01,0.06,0.33,-0.05,0.11,0.10,
0.044,-0.01,0.06,0.33,-0.05,0.11,0.10,
0.045,0.11,0.14,0.29,-0.05,0.11,0.10,
0.045,0.11,0.14,0.29,-0.05,0.11,0.10,
0.052,0.11,0.14,0.29,-0.05,0.11,0.10,
0.053,0.11,0.14,0.29,-0.05,0.11,0.10,
0.053,0.11,0.14,0.29,-0.05,0.11,0.10,
0.053,0.11,0.14,0.29,-0.05,0.11,0.10,
0.061,0.11,0.14,0.29,0.01,0.01,0.09,
0.061,0.11,0.14,0.29,0.01,0.01,0.09,
0.062,0.19,0.22,0.25,0.01,0.01,0.09,
0.062,0.19,0.22,0.25,0.01,0.01,0.09,
0.073,0.19,0.22,0.25,0.05,-0.05,0.08,
0.074,0.19,0.22,0.25,0.05,-0.05,0.08,
0.074,0.18,0.21,0.27,0.05,-0.05,0.08,
0.075,0.18,0.21,0.27,0.05,-0.05,0.08,
0.082,0.18,0.21,0.27,0.08,-0.09,0.07,
0.082,0.18,0.21,0.27,0.08,-0.09,0.07,
0.082,0.14,0.18,0.33,0.08,-0.09,0.07,
0.083,0.14,0.18,0.33,0.08,-0.09,0.07,
0.091,0.14,0.18,0.33,0.10,-0.12,0.06,
0.091,0.14,0.18,0.33,0.10,-0.12,0.06,
0.092,0.10,0.14,0.40,0.10,-0.12,0.06,
0.092,0.10,0.14,0.40,0.10,-0.12,0.06,
0.1,0.10,0.14,0.40,0.10,-0.12,0.06,
0.101,0.10,0.14,0.40,0.10,-0.12,0.06,
0.101,0.10,0.14,0.40,0.10,-0.12,0.06,
0.102,0.10,0.14,0.40,0.10,-0.12,0.06,
0.11,0.10,0.14,0.40,0.11,-0.14,0.04,
0.111,0.10,0.14,0.40,0.11,-0.14,0.04,
0.111,-0.01,0.09,0.44,0.11,-0.14,0.04,
0.112,-0.01,0.09,0.44,0.11,-0.14,0.04,
0.12,-0.01,0.09,0.44,0.10,-0.14,0.02,
0.12,-0.01,0.09,0.44,0.10,-0.14,0.02,
0.121,-0.08,0.08,0.40,0.10,-0.14,0.02,
0.121,-0.08,0.08,0.40,0.10,-0.14,0.02,
0.128,-0.08,0.08,0.40,0.07,-0.11,0.00,
0.129,-0.08,0.08,0.40,0.07,-0.11,0.00,
0.13,-0.13,0.06,0.38,0.07,-0.11,0.00,
0.13,-0.13,0.06,0.38,0.07,-0.11,0.00,
0.138,-0.13,0.06,0.38,0.04,-0.06,0.00,
0.139,-0.13,0.06,0.38,0.04,-0.06,0.00,
0.14,-0.17,0.04,0.36,0.04,-0.06,0.00,
0.14,-0.17,0.04,0.36,0.04,-0.06,0.00,
0.148,-0.17,0.04,0.36,0.00,-0.00,0.01,
0.148,-0.17,0.04,0.36,0.00,-0.00,0.01,
0.149,-0.17,0.01,0.33,0.00,-0.00,0.01,
0.149,-0.17,0.01,0.33,0.00,-0.00,0.01,
0.157,-0.17,0.01,0.33,-0.02,0.05,0.00,
0.157,-0.17,0.01,0.33,-0.02,0.05,0.00,
0.158,-0.14,-0.02,0.31,-0.02,0.05,0.00,
0.158,-0.14,-0.02,0.31,-0.02,0.05,0.00,
