
time,ax,ay,az,wx,wy,wz,
0.001,-0.20,0.35,0.10,0.33,0.32,0.29,
0.002,-0.20,0.35,0.10,0.33,0.32,0.29,
0.002,-0.22,0.25,0.28,0.33,0.32,0.29,
0.002,-0.22,0.25,0.28,0.33,0.32,0.29,
0.003,-0.22,0.25,0.28,0.32,0.27,0.26,
0.003,-0.22,0.25,0.28,0.32,0.27,0.26,
0.003,-0.27,0.16,0.34,0.32,0.27,0.26,
0.004,-0.27,0.16,0.34,0.32,0.27,0.26,
0.014,-0.27,0.16,0.34,0.26,0.20,0.18,
0.014,-0.27,0.16,0.34,0.26,0.20,0.18,
0.015,-0.35,0.07,0.35,0.26,0.20,0.18,
0.015,-0.35,0.07,0.35,0.26,0.20,0.18,
0.029,-0.35,0.07,0.35,0.16,0.14,0.09,
0.03,-0.35,0.07,0.35,0.16,0.14,0.09,
0.031,-0.43,0.00,0.30,0.16,0.14,0.09,
0.031,-0.43,0.00,0.30,0.16,0.14,0.09,
0.031,-0.43,0.00,0.30,0.05,0.10,0.01,
0.032,-0.43,0.00,0.30,0.05,0.10,0.01,
0.032,-0.47,-0.01,0.24,0.05,0.10,0.01,
0.032,-0.47,-0.01,0.24,0.05,0.10,0.01,
0.045,-0.47,-0.01,0.24,-0.05,0.10,-0.04,
0.045,-0.47,-0.01,0.24,-0.05,0.10,-0.04,
0.046,-0.42,0.00,0.18,-0.05,0.10,-0.04,
0.046,-0.42,0.00,0.18,-0.05,0.10,-0.04,
0.051,-0.42,0.00,0.18,-0.13,0.12,-0.08,
0.051,-0.42,0.00,0.18,-0.13,0.12,-0.08,
0.052,-0.32,0.07,0.13,-0.13,0.12,-0.08,
0.052,-0.32,0.07,0.13,-0.13,0.12,-0.08,
0.06,-0.32,0.07,0.13,-0.17,0.13,-0.10,
0.06,-0.32,0.07,0.13,-0.17,0.13,-0.10,
0.061,-0.19,0.17,0.13,-0.17,0.13,-0.10,
0.061,-0.19,0.17,0.13,-0.17,0.13,-0.10,
0.07,-0.19,0.17,0.13,-0.18,0.12,-0.12,
0.07,-0.19,0.17,0.13,-0.18,0.12,-0.12,
0.07,-0.05,0.27,0.15,-0.18,0.12,-0.12,
0.071,-0.05,0.27,0.15,-0.18,0.12,-0.12,
0.079,-0.05,0.27,0.15,-0.15,0.09,-0.12,
0.08,-0.05,0.27,0.15,-0.15,0.09,-0.12,
0.08,0.04,0.33,0.19,-0.15,0.09,-0.12,
0.081,0.04,0.33,0.19,-0.15,0.09,-0.12,
0.089,0.04,0.33,0.19,-0.10,0.03,-0.09,
0.09,0.04,0.33,0.19,-0.10,0.03,-0.09,
0.09,0.08,0.33,0.27,-0.10,0.03,-0.09,
0.091,0.08,0.33,0.27,-0.10,0.03,-0.09,
0.1,0.08,0.33,0.27,-0.10,0.03,-0.09,
0.101,0.08,0.33,0.27,-0.10,0.03,-0.09,
