
time,ax,ay,az,wx,wy,wz,
0.001,0.64,0.53,0.22,0.35,-0.24,0.20,
0.002,0.64,0.53,0.22,0.35,-0.24,0.20,
0.003,0.63,0.40,0.65,0.35,-0.24,0.20,
0.003,0.63,0.40,0.65,0.35,-0.24,0.20,
0.013,0.63,0.40,0.65,0.34,-0.23,0.22,
0.014,0.63,0.40,0.65,0.34,-0.23,0.22,
0.015,0.61,0.28,0.82,0.34,-0.23,0.22,
0.015,0.61,0.28,0.82,0.34,-0.23,0.22,
0.015,0.61,0.28,0.82,0.25,-0.24,0.17,
0.016,0.61,0.28,0.82,0.25,-0.24,0.17,
0.016,0.59,0.20,0.67,0.25,-0.24,0.17,
0.017,0.59,0.20,0.67,0.25,-0.24,0.17,
0.032,0.59,0.20,0.67,0.10,-0.25,0.09,
0.033,0.59,0.20,0.67,0.10,-0.25,0.09,
0.033,0.51,0.17,0.41,0.10,-0.25,0.09,
0.033,0.51,0.17,0.41,0.10,-0.25,0.09,
0.034,0.51,0.17,0.41,-0.06,-0.25,0.03,
0.034,0.51,0.17,0.41,-0.06,-0.25,0.03,
0.035,0.40,0.14,0.17,-0.06,-0.25,0.03,
0.035,0.40,0.14,0.17,-0.06,-0.25,0.03,
0.046,0.40,0.14,0.17,-0.06,-0.25,0.03,
0.047,0.40,0.14,0.17,-0.06,-0.25,0.03,
0.047,0.40,0.14,0.17,-0.06,-0.25,0.03,
0.048,0.40,0.14,0.17,-0.06,-0.25,0.03,
0.05,0.40,0.14,0.17,-0.17,-0.22,0.00,
0.051,0.40,0.14,0.17,-0.17,-0.22,0.00,
0.051,0.24,0.01,0.04,-0.17,-0.22,0.00,
0.051,0.24,0.01,0.04,-0.17,-0.22,0.00,
0.06,0.24,0.01,0.04,-0.22,-0.17,-0.00,
0.061,0.24,0.01,0.04,-0.22,-0.17,-0.00,
0.061,0.20,-0.00,0.14,-0.22,-0.17,-0.00,
0.062,0.20,-0.00,0.14,-0.22,-0.17,-0.00,
0.068,0.20,-0.00,0.14,-0.23,-0.11,-0.00,
0.069,0.20,-0.00,0.14,-0.23,-0.11,-0.00,
0.069,0.21,-0.03,0.28,-0.23,-0.11,-0.00,
0.07,0.21,-0.03,0.28,-0.23,-0.11,-0.00,
0.078,0.21,-0.03,0.28,-0.23,-0.05,-0.01,
0.079,0.21,-0.03,0.28,-0.23,-0.05,-0.01,
0.079,0.25,-0.02,0.41,-0.23,-0.05,-0.01,
0.079,0.25,-0.02,0.41,-0.23,-0.05,-0.01,
0.089,0.25,-0.02,0.41,-0.24,0.01,-0.03,
0.09,0.25,-0.02,0.41,-0.24,0.01,-0.03,
0.091,0.34,-0.03,0.51,-0.24,0.01,-0.03,
0.091,0.34,-0.03,0.51,-0.24,0.01,-0.03,
0.097,0.34,-0.03,0.51,-0.26,0.04,-0.04,
0.098,0.34,-0.03,0.51,-0.26,0.04,-0.04,
0.099,0.41,-0.08,0.52,-0.26,0.04,-0.04,
0.1,0.41,-0.08,0.52,-0.26,0.04,-0.04,
0.106,0.41,-0.08,0.52,-0.28,0.05,-0.04,
0.107,0.41,-0.08,0.52,-0.28,0.05,-0.04,
0.108,0.41,-0.11,0.44,-0.28,0.05,-0.04,
0.108,0.41,-0.11,0.44,-0.28,0.05,-0.04,
0.116,0.41,-0.11,0.44,-0.29,0.04,-0.02,
0.117,0.41,-0.11,0.44,-0.29,0.04,-0.02,
0.118,0.39,-0.14,0.30,-0.29,0.04,-0.02,
0.118,0.39,-0.14,0.30,-0.29,0.04,-0.02,
0.132,0.39,-0.14,0.30,-0.29,-0.02,0.01,
0.134,0.39,-0.14,0.30,-0.29,-0.02,0.01,
0.135,0.29,-0.16,0.14,-0.29,-0.02,0.01,
0.136,0.29,-0.16,0.14,-0.29,-0.02,0.01,
0.143,0.29,-0.16,0.14,-0.27,-0.05,0.02,
0.144,0.29,-0.16,0.14,-0.27,-0.05,0.02,
0.145,0.19,-0.15,-0.04,-0.27,-0.05,0.02,
